compound,normalized,n_sources,sources,l1000cds2_score,l1000cds2_n,enrichr_best_score,enrichr_n,clue_avg_norm_cs,clue_min_norm_cs,clue_max_fdr,clue_n,clue_n_sigs,clue_reversal,best_pval,moa,target,n_entries
PKCbeta inhibitor,pkcbetainhibitor,3,Enrichr; L1000CDS2; clue.io,0.0,1,97.14748897584924,37,-0.6612421052631579,-1.2293,15.6536,1,19,True,0.005707985202980467,PKC inhibitor,,39
Guggulsterone,guggulsterone,3,Enrichr; L1000CDS2; clue.io,0.0,1,59.60126813005706,21,-0.2825884615384615,-1.2737,15.6536,1,26,True,0.006263172330545126,Estrogen receptor agonist|Cholesterol inhibitor|FXR antagonist|IKK inhibitor|Progesterone receptor agonist|PXR agonist,NR1H4|PGR|AR|NR3C1|NR3C2,23
HLI 373,hli373,3,Enrichr; L1000CDS2; clue.io,0.0,1,33.326939424402696,51,-0.27574444444444446,-1.2736,15.6536,1,18,True,0.016916285122255435,MDM inhibitor,MDM2,53
nTZDpa,ntzdpa,3,Enrichr; L1000CDS2; clue.io,0.0,1,156.189537724504,2,-0.15811999999999998,-1.0745,3.4693,1,15,True,0.029666199887420187,PPAR receptor agonist,PPARG,4
SB 202190,sb202190,3,Enrichr; L1000CDS2; clue.io,0.0,1,25.034041322666724,21,-0.07802857142857143,-1.3935,15.6536,1,14,True,0.015694997200402117,P38 MAPK inhibitor,MAPK14|AKT1|ALOX5|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1,23
SB590885,sb590885,3,Enrichr; L1000CDS2; clue.io,0.0,1,359.6430186424305,153,-0.007009999999999998,-1.229,15.6536,1,30,True,3.706762915703346e-11,RAF inhibitor,BRAF,155
dmeob,dmeob,2,Enrichr; clue.io,,0,7.396590556838097,3,-0.7676083333333333,-1.4517,15.6536,1,12,True,0.11866143100423389,,,4
prunetin,prunetin,2,Enrichr; clue.io,,0,28.35383197455673,2,-0.754375,-1.1498,3.0752,1,4,True,0.012866994282619353,Breast cancer resistance protein inhibitor,,3
psoromic acid,psoromicacid,2,Enrichr; clue.io,,0,33.71572144348522,1,-0.69138,-1.5172,15.6536,1,5,True,0.07949367100398377,Ras GTPase inhibitor,,2
sb 218795,sb218795,2,Enrichr; clue.io,,0,65.9085293542957,2,-0.6870571428571429,-1.3764,15.6536,1,14,True,0.05134069427933927,Tachykinin antagonist,TACR3,3
blebbistatin,blebbistatin,2,Enrichr; clue.io,,0,74.63985907553369,15,-0.6524764705882353,-1.5343,15.6536,1,17,True,0.0011382558078895538,ATPase inhibitor,,16
bas 09104376,bas09104376,2,Enrichr; clue.io,,0,31.75207337759583,7,-0.6489307692307692,-1.1977,15.6536,1,13,True,0.02534373828530093,HIV inhibitor,,8
apo866,apo866,2,Enrichr; clue.io,,0,9.770499067592834,2,-0.5987176470588236,-1.2622,15.6536,1,17,True,0.17165009268874884,NAMPT inhibitor,,3
ns3694,ns3694,2,Enrichr; clue.io,,0,2.275900014916359,1,-0.5889875,-1.3657,15.6536,1,8,True,0.3638781812849406,Glutamate receptor antagonist,CASP9,2
nabumetone,nabumetone,2,Enrichr; clue.io,,0,7.330447973621347,1,-0.5819599999999999,-1.2729,15.6536,1,10,True,0.20229145103244892,Cyclooxygenase inhibitor,PTGS2|AKR1C3|CYP2B6|CYP2C19|CYP2E1|PTGS1,2
actarit,actarit,2,Enrichr; clue.io,,0,16.171078308333918,2,-0.5819066666666667,-1.3936,15.6536,1,15,True,0.12677867536057502,Interleukin inhibitor,,3
nu 1025,nu1025,2,Enrichr; clue.io,,0,49.120954550502866,5,-0.568565,-1.4019,15.6536,1,20,True,0.0021057404410557215,PARP inhibitor|DNA dependent protein kinase inhibitor,PARP1,6
tropicamide,tropicamide,2,Enrichr; clue.io,,0,54.02023282333744,4,-0.56462,-1.0861,3.0755,1,10,True,0.0584581138777585,Acetylcholine receptor antagonist,CHRM3|CHRM4|CHRM1|CHRM2,5
nomegestrol acetate,nomegestrolacetate,2,Enrichr; clue.io,,0,4.229893278072021,2,-0.5595846153846153,-1.11,2.3144,1,13,True,0.2713139414347713,Progesterone receptor agonist,PGR,3
bas 02859604,bas02859604,2,Enrichr; clue.io,,0,3.253414565448033,2,-0.5590916666666667,-1.2889,15.6536,1,12,True,0.3088022779628034,,,3
tcs 359,tcs359,2,Enrichr; clue.io,,0,17.99918137892021,6,-0.5297375,-1.2744,15.6536,1,8,True,0.048491303080940906,FLT3 inhibitor,FLT3,7
ptb1,ptb1,2,Enrichr; clue.io,,0,3.908284121397504,4,-0.5255125,-1.4309,15.6536,1,16,True,0.20252524754019346,AMPK activator,PTPN1,5
diphenoxylate,diphenoxylate,2,Enrichr; clue.io,,0,112.94787989424374,5,-0.5200333333333333,-1.0412,1.6428,1,6,True,0.00029879307630711384,Opioid receptor agonist,OPRM1,6
UNC1215,unc1215,2,Enrichr; clue.io,,0,6.956316183817003,3,-0.5099947368421053,-1.3309,15.6536,1,19,True,0.20828324424333822,L3MBTL antagonist,L3MBTL3,4
cgp 52432,cgp52432,2,Enrichr; clue.io,,0,13.05762444710735,2,-0.5084500000000001,-1.4395,15.6536,1,10,True,0.06823857805526946,GABA receptor antagonist,GABBR1,3
sb 216763,sb216763,2,Enrichr; clue.io,,0,68.99384156820626,41,-0.5012823529411765,-1.355,15.6536,1,34,True,0.0031008256012906733,GSK inhibitor,GSK3B|CCNA2|CDK2|GSK3A,42
terbutaline,terbutaline,2,Enrichr; clue.io,,0,17.627728951176998,2,-0.4992181818181818,-1.1094,2.6932,1,11,True,0.12017437982499951,Adrenergic receptor agonist,ADRB2,3
flurofamide,flurofamide,2,Enrichr; clue.io,,0,8.313210610119837,4,-0.4968153846153846,-1.3633,15.6536,1,13,True,0.05763704797139821,Urease inhibitor,,5
estropipate,estropipate,2,Enrichr; clue.io,,0,36.27836514149772,1,-0.49069565217391303,-1.351,15.6536,1,23,True,0.008573749976833363,Estrogen receptor agonist,ESR1|ESR2,2
st019366,st019366,2,Enrichr; clue.io,,0,59.93671214987024,4,-0.4809333333333334,-1.2724,15.6536,1,12,True,0.003577615891581584,,,5
ly 320135,ly320135,2,Enrichr; clue.io,,0,156.189537724504,5,-0.47390000000000004,-1.3724,15.6536,1,13,True,0.029666199887420187,Cannabinoid receptor antagonist,CNR1,6
dexamethasone,dexamethasone,2,Enrichr; clue.io,,0,74.63985907553369,53,-0.4607744186046512,-1.4334,15.6536,1,86,True,0.0033794167063874465,Glucocorticoid receptor agonist,NR3C1|CYP3A4|CYP3A5|ANXA1|NOS2|NR0B1|NR3C2,54
npc 15199,npc15199,2,Enrichr; clue.io,,0,24.440391563805775,6,-0.45762142857142857,-1.2779,15.6536,1,14,True,0.016299177749493448,,,7
sc 19220,sc19220,2,Enrichr; clue.io,,0,23.574610325457964,4,-0.4532,-1.1391,2.8646,1,7,True,0.10006232868333703,Prostanoid receptor antagonist,PTGER1,5
dictamnine,dictamnine,2,Enrichr; clue.io,,0,33.71572144348522,1,-0.45072,-1.4573,15.6536,1,5,True,0.07949367100398377,Furoquinoline alkaloid,,2
dideoxyadenosine,dideoxyadenosine,2,Enrichr; clue.io,,0,25.803822305610886,8,-0.4486785714285714,-1.2477,15.6536,1,14,True,0.008093130781064568,Nucleoside reverse transcriptase inhibitor,,9
terguride,terguride,2,Enrichr; clue.io,,0,17.99918137892021,3,-0.4456230769230769,-1.2761,15.6536,1,13,True,0.048491303080940906,,,4
ritanserin,ritanserin,2,Enrichr; clue.io,,0,38.87726922678089,4,-0.44217692307692313,-1.2882,15.6536,1,13,True,0.014525311091067833,Serotonin receptor antagonist,HTR2A|HTR2C|HTR2B|ADRA1A|ADRA1B|ADRA1D|HTR1A|HTR1B|HTR1D|HTR5A|HTR6|HTR7,5
crotamiton,crotamiton,2,Enrichr; clue.io,,0,19.325665537026026,5,-0.43933571428571433,-1.2548,15.6536,1,14,True,0.04483915677812635,Antipruritic,,6
brl 54443,brl54443,2,Enrichr; clue.io,,0,16.25495026487543,6,-0.43829999999999997,-1.4526,15.6536,1,13,True,0.05416366174115152,Serotonin receptor agonist,HTR1E|HTR1F,7
milrinone,milrinone,2,Enrichr; clue.io,,0,25.649548269634938,4,-0.43185,-1.3369,15.6536,1,20,True,0.015103717850808523,Phosphodiesterase inhibitor,PDE3A|PDE2A|PDE3B|PDE5A,5
st4049616,st4049616,2,Enrichr; clue.io,,0,15.230603067672018,6,-0.4311416666666667,-1.2621,15.6536,1,12,True,0.05806903047858088,,,7
fexaramine,fexaramine,2,Enrichr; clue.io,,0,62.330473024396646,2,-0.42860769230769225,-1.3065,15.6536,1,13,True,0.003333988620254291,,,3
mrs 1845,mrs1845,2,Enrichr; clue.io,,0,13.780528504706739,2,-0.42467692307692306,-1.2377,15.6536,1,13,True,0.1398398929473613,,,3
lansoprazole,lansoprazole,2,Enrichr; clue.io,,0,70.5031014908532,2,-0.42223750000000004,-1.241,15.6536,1,8,True,0.0026652942634988234,Proton pump inhibitor,ATP4A|CYP2C19|CYP3A4|CYP3A5|ATP4B,3
calycanthine,calycanthine,2,Enrichr; clue.io,,0,10.432730507178977,2,-0.4009384615384616,-1.1331,2.812,1,13,True,0.08560190947669795,GABA receptor antagonist,,3
IOX2,iox2,2,Enrichr; clue.io,,0,305.3509677153255,10,-0.39903333333333335,-1.2397,15.6536,1,18,True,1.9772113744854926e-07,HIF Inhibitor,EGLN1|KDM2A|KDM5C,11
jas07 009,jas07009,2,Enrichr; clue.io,,0,26.48960327692756,2,-0.3949888888888889,-1.2656,15.6536,1,9,True,0.031353445546607545,,,3
KI20227,ki20227,2,Enrichr; clue.io,,0,88.51747695452742,13,-0.3944315789473684,-1.2313,15.6536,1,19,True,0.0019129313653444171,,,14
bms 191011,bms191011,2,Enrichr; clue.io,,0,18.693488294580938,5,-0.39419,-1.3523,15.6536,1,20,True,0.02456214065057596,Potassium channel activator,KCNMA1,6
auraptene,auraptene,2,Enrichr; clue.io,,0,7.230813660437018,2,-0.3917769230769231,-1.4417,15.6536,1,13,True,0.12113170937737919,Nitric oxide production inhibitor,MAOB,3
sew 05685,sew05685,2,Enrichr; clue.io,,0,4.589372389141794,5,-0.39132307692307694,-1.1057,2.8813,1,13,True,0.2602367743712585,,,6
valproic acid,valproicacid,2,Enrichr; clue.io,,0,6.764182623745428,2,-0.3889142857142857,-1.4057,15.6536,1,28,True,0.12861734711651365,HDAC inhibitor|GABA receptor agonist|Voltage-gated sodium channel blocker,HDAC1|SCN1A|SCN3A|ABAT|ALDH5A1|ACADSB|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1B|SCN2A|SCN2B|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A,3
betamethasone,betamethasone,2,Enrichr; clue.io,,0,68.99384156820626,53,-0.3883807692307692,-1.2054,15.6536,1,26,True,0.007567775086184783,Glucocorticoid receptor agonist,NR3C1,54
kynuramine,kynuramine,2,Enrichr; clue.io,,0,6.618165828015962,3,-0.3775076923076923,-1.256,15.6536,1,13,True,0.1311364216896633,Aryl hydrocarbon receptor activator,,4
unc0321,unc0321,2,Enrichr; clue.io,,0,44.89462755954714,13,-0.37715,-1.1537,3.2335,1,16,True,0.0025660958372378142,Histone lysine methyltransferase inhibitor,EHMT2,14
diflunisal,diflunisal,2,Enrichr; clue.io,,0,151.5356361741005,13,-0.37433125,-1.2679,15.6536,1,16,True,0.0035103665492271833,Prostanoid receptor antagonist,PTGS2|PTGS1,14
y27632,y27632,2,Enrichr; clue.io,,0,35.0290834266627,13,-0.3699809523809524,-1.4449,15.6536,1,42,True,0.012866994282619353,Rho associated kinase inhibitor,ROCK1|ROCK2|LRRK2|PKIA|PKN2|PRKACA|PRKCE,14
JW55,jw55,2,Enrichr; clue.io,,0,97.0925501691698,5,-0.3670631578947368,-1.3007,15.6536,1,19,True,0.00014743327018990353,Tankyrase inhibitor,TNKS|TNKS2,6
tolazamide,tolazamide,2,Enrichr; clue.io,,0,253.2089854843052,12,-0.36395,-1.3035,15.6536,1,30,True,0.00014854179030550704,ATP channel blocker,ABCC8|KCNJ1|KCNJ10|KCNJ11,13
talniflumate,talniflumate,2,Enrichr; clue.io,,0,14.899141861115272,4,-0.36324615384615383,-1.2553,15.6536,1,13,True,0.13333372483507147,Cyclooxygenase inhibitor,CLCA1,5
mefenamic acid,mefenamicacid,2,Enrichr; clue.io,,0,31.75207337759583,7,-0.36155333333333334,-1.1947,15.6536,1,15,True,0.02534373828530093,Cyclooxygenase inhibitor,PTGS2|PTGS1|KCNQ1|TRPM3,8
jx 401,jx401,2,Enrichr; clue.io,,0,68.99384156820626,5,-0.3571071428571428,-1.1094,2.6516,1,14,True,0.009716646481874956,P38 MAPK inhibitor,MAPK14,6
way 213613,way213613,2,Enrichr; clue.io,,0,26.288037904781714,11,-0.35709166666666664,-1.4039,15.6536,1,12,True,0.014525311091067833,,,12
gw 4064,gw4064,2,Enrichr; clue.io,,0,30.29152577028359,5,-0.35708235294117646,-1.2841,15.6536,1,17,True,0.026797312410435526,FXR agonist,NR1H4,6
st638,st638,2,Enrichr; clue.io,,0,57.68523035532435,2,-0.3566888888888889,-1.2353,15.6536,1,9,True,0.003831850587075852,Tyrosine kinase inhibitor,,3
closantel,closantel,2,Enrichr; clue.io,,0,31.75207337759583,4,-0.34759999999999996,-1.4201,15.6536,1,8,True,0.02534373828530093,Chitin inhibitor|NFKB inhibitor,,5
liothyronine,liothyronine,2,Enrichr; clue.io,,0,21.268472427628502,5,-0.3469,-0.9597,1.0278,1,8,True,0.10681657800378862,Thyroid hormone stimulant,THRA|THRB,6
dienestrol,dienestrol,2,Enrichr; clue.io,,0,18.644406939607435,10,-0.3455125,-1.3455,15.6536,1,16,True,0.04665195983622821,Estrogen receptor agonist,ESR1,11
enzastaurin,enzastaurin,2,Enrichr; clue.io,,0,177.40038716181954,48,-0.34413714285714286,-1.2246,15.6536,1,35,True,2.3744900167703972e-05,PKC inhibitor,PRKCB|AKT1|GSK3B|PRKCA|PRKCD|PRKCG,49
tyrphostin,tyrphostin,2,Enrichr; clue.io,,0,22.472849991670653,3,-0.34120666666666666,-1.2451,15.6536,1,15,True,0.03786343628466771,EGFR inhibitor,ERBB2,4
pd 98059,pd98059,2,Enrichr; clue.io,,0,68.99384156820626,12,-0.3390521739130435,-1.2797,15.6536,1,23,True,0.009716646481874956,MEK inhibitor|MAP kinase inhibitor,MAP2K1|MAP2K2|MAPK3|AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,13
graveoline,graveoline,2,Enrichr; clue.io,,0,10.411006495037405,1,-0.3386076923076923,-1.1253,3.1827,1,13,True,0.16538295333718497,,,2
beclomethasone dipropionate,beclomethasonedipropionate,2,Enrichr; clue.io,,0,33.326939424402696,18,-0.3355315789473684,-1.2792,15.6536,1,19,True,0.009892644421164507,Immunosuppressant|Glucocorticoid receptor agonist,NR3C1|CYP3A5|ADGRG3,19
psb 11,psb11,2,Enrichr; clue.io,,0,16.171078308333918,3,-0.33047857142857145,-1.1446,2.9347,1,14,True,0.12677867536057502,Adenosine receptor antagonist,ADORA3|ADORA1|ADORA2A,4
harpagoside,harpagoside,2,Enrichr; clue.io,,0,16.806703425635504,4,-0.32986153846153843,-1.163,15.3525,1,13,True,0.05224763944175664,Acetylcholinesterase inhibitor,NOS2|PTGS2,5
sb 239063,sb239063,2,Enrichr; clue.io,,0,23.574610325457964,3,-0.3293634146341463,-1.296,15.6536,1,41,True,0.06410341026008357,P38 MAPK inhibitor,TNF|MAPK11|MAPK14|PTGS2,4
prednisolone hemisuccinate,prednisolonehemisuccinate,2,Enrichr; clue.io,,0,36.434468108825314,13,-0.3265454545454545,-1.033,3.0833,1,11,True,0.002118539843764507,Glucocorticoid receptor agonist,NR3C1,14
stk674938,stk674938,2,Enrichr; clue.io,,0,4.589372389141794,1,-0.32561538461538464,-1.4087,15.6536,1,13,True,0.2602367743712585,,,2
tas 301,tas301,2,Enrichr; clue.io,,0,14.899141861115272,2,-0.3239444444444444,-1.1937,15.6536,1,9,True,0.13333372483507147,Calcium channel blocker,CAMK2A,3
ly 288513,ly288513,2,Enrichr; clue.io,,0,3.253414565448033,4,-0.32153076923076923,-1.2295,15.6536,1,13,True,0.3088022779628034,CCK receptor antagonist,CCKBR,5
felodipine,felodipine,2,Enrichr; clue.io,,0,14.300596408897894,1,-0.3169363636363636,-1.2604,15.6536,1,22,True,0.06206905163540733,Calcium channel blocker,CACNA1C|CACNA1D|CACNA1S|NR3C2|CACNA1F|CACNA1H|CACNA2D1|CACNA2D2|CACNB2|CALM1|CFTR|PDE1A|PDE1B|TNNC1|TNNC2,2
valyltryptophan,valyltryptophan,2,Enrichr; clue.io,,0,72.62843033881339,2,-0.3160909090909091,-1.0421,1.6456,1,11,True,0.0003394414272669959,,,3
azasetron,azasetron,2,Enrichr; clue.io,,0,9.898596984353858,3,-0.31530769230769234,-1.0984,3.115,1,13,True,0.09013179787639342,Serotonin receptor antagonist,HTR3A|HTR3B,4
lenalidomide,lenalidomide,2,Enrichr; clue.io,,0,170.9969429396908,4,-0.31212093023255816,-1.3003,15.6536,1,43,True,0.0004980321677705861,Carcinogen,CRBN|TNF|CDH5|PTGS2|TNFSF11,5
foliosidine,foliosidine,2,Enrichr; clue.io,,0,55.66181399289476,4,-0.31182857142857145,-1.3061,15.6536,1,14,True,0.012750052016900127,Plant alkaloid,,5
hydrocortisone valerate,hydrocortisonevalerate,2,Enrichr; clue.io,,0,23.38369829330523,10,-0.30995999999999996,-1.2648,15.6536,1,10,True,0.022320642988564354,Corticosteroid agonist|Glucocorticoid receptor agonist,NR3C1,11
daminozide,daminozide,2,Enrichr; clue.io,,0,26.48960327692756,7,-0.3096888888888889,-1.2925,15.6536,1,18,True,0.031353445546607545,KDM2A inhibitor,KDM2A|KDM7A|PHF8,8
sulfasalazine,sulfasalazine,2,Enrichr; clue.io,,0,7.7365779228458615,2,-0.30875454545454545,-1.1334,2.8158,1,11,True,0.19625461590048515,Antirheumatic drug|NFKB inhibitor,PTGS1|PTGS2|ALOX5|ACAT1|CHUK|IKBKB|PLA2G1B|PPARG|SLC46A1|SLC7A11|TBXAS1,3
pca 4248,pca4248,2,Enrichr; clue.io,,0,28.933995908334047,2,-0.3080866666666667,-1.2755,15.6536,1,15,True,0.028283833151998863,Platelet activating factor receptor antagonist,PTAFR,3
psh 008,psh008,2,Enrichr; clue.io,,0,4.589372389141794,2,-0.3070428571428571,-1.1862,15.6536,1,7,True,0.2602367743712585,,,3
bendroflumethiazide,bendroflumethiazide,2,Enrichr; clue.io,,0,13.780528504706739,5,-0.30507894736842106,-1.3289,15.6536,1,19,True,0.07446416570738237,Sodium channel inhibitor,SLC12A3|CA1|CA2|CA4|KCNMA1|SLC12A1,6
domperidone,domperidone,2,Enrichr; clue.io,,0,41.06069142799587,9,-0.3020133333333333,-1.2786,15.6536,1,15,True,0.018590446466863406,Dopamine receptor antagonist,DRD2|DRD3|ABCG2|CYP3A5,10
luzindole,luzindole,2,Enrichr; clue.io,,0,59.93671214987024,3,-0.30183333333333334,-1.2828,15.6536,1,15,True,0.003577615891581584,Melatonin receptor antagonist,MTNR1B|MTNR1A,4
fosfosal,fosfosal,2,Enrichr; clue.io,,0,57.68523035532435,6,-0.2956666666666667,-0.887,0.5911,1,3,True,0.003831850587075852,Phosphodiesterase inhibitor,PTGS1|PTGS2|PDE4A|PDE4B|PDE4C|PDE4D,7
fentiazac,fentiazac,2,Enrichr; clue.io,,0,8.313210610119837,4,-0.29415555555555556,-1.1613,4.4609,1,9,True,0.10651198857870134,Cyclooxygenase inhibitor,PTGS1|PTGS2,5
kuc104126n,kuc104126n,2,Enrichr; clue.io,,0,10.411006495037405,1,-0.29362857142857146,-1.0369,1.8701,1,7,True,0.16538295333718497,,,2
mirtazapine,mirtazapine,2,Enrichr; clue.io,,0,3.0831796948418817,3,-0.29225,-1.388,15.6536,1,28,True,0.24109283713311905,Adrenergic receptor antagonist|Serotonin receptor antagonist,ADRA2A|HTR2A|HTR2C|ADRA2C|HTR3A|ADRA2B|ADRA1A|ADRA1B|ADRA1D|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD5|HRH1|HRH3|HTR2B|HTR7|OPRK1|SLC6A2|SLC6A3|SLC6A4,4
timolol,timolol,2,Enrichr; clue.io,,0,35.0290834266627,8,-0.29015416666666666,-1.2835,15.6536,1,24,True,0.022537738675043002,Adrenergic receptor antagonist,ADRB2|ADRB1,9
su1498,su1498,2,Enrichr; clue.io,,0,27.66958820495867,2,-0.2891230769230769,-1.1802,15.6536,1,13,True,0.029802731629662748,VEGFR inhibitor,ERBB2,3
alfadolone acetate,alfadoloneacetate,2,Enrichr; clue.io,,0,12.316561047467069,1,-0.28688461538461535,-1.428,15.6536,1,13,True,0.07245941502589652,GABA receptor agonist,,2
clocortolone pivalate,clocortolonepivalate,2,Enrichr; clue.io,,0,38.81936703082998,13,-0.28425,-1.0797,1.9791,1,14,True,0.012339730087379276,Steroid,NR3C1|PLA2G1B,14
gr 103691,gr103691,2,Enrichr; clue.io,,0,107.27794396232315,10,-0.2835125,-1.0325,2.8725,1,8,True,0.0055029595646660405,Dopamine receptor antagonist,DRD3,11
km 03439,km03439,2,Enrichr; clue.io,,0,17.627728951176998,1,-0.28315833333333335,-1.2275,15.6536,1,12,True,0.12017437982499951,,,2
gp 2a,gp2a,2,Enrichr; clue.io,,0,24.440391563805775,6,-0.2823428571428571,-1.2418,15.6536,1,14,True,0.016299177749493448,Cannabinoid receptor agonist,CNR2,7
oxandrolone,oxandrolone,2,Enrichr; clue.io,,0,6.610782292456445,2,-0.27424,-1.1024,2.2388,1,15,True,0.21423032933521993,Androgen receptor agonist,AR,3
fluticasone propionate,fluticasonepropionate,2,Enrichr; clue.io,,0,26.95071141936859,23,-0.273265,-1.2538,15.6536,1,20,True,0.00782954098286228,Glucocorticoid receptor agonist,NR3C1|PGR|CYP3A5|CYP3A7|NR3C2|PLA2G4A,24
A 769662,a769662,2,Enrichr; clue.io,,0,30.29152577028359,1,-0.26911052631578947,-1.2158,15.6536,1,19,True,0.026797312410435526,AMPK activator,,2
t5345967,t5345967,2,Enrichr; clue.io,,0,253.2089854843052,11,-0.26894375,-1.5963,15.6536,1,16,True,0.022332620742503966,,,12
ethisterone,ethisterone,2,Enrichr; clue.io,,0,97.14748897584924,3,-0.26674375,-1.2579,15.6536,1,16,True,0.006258307725943112,Progestogen hormone,TYR,4
emetine,emetine,2,Enrichr; clue.io,,0,74.15308536661688,68,-0.26496666666666663,-1.4,15.6536,1,42,True,0.0003201408009466859,Protein synthesis inhibitor,RPS2,69
desmethylclozapine,desmethylclozapine,2,Enrichr; clue.io,,0,17.99918137892021,2,-0.2633615384615384,-1.1948,15.6536,1,13,True,0.048491303080940906,Acetylcholine receptor agonist,CHRM1|DRD2|DRD3|HTR2A|HTR2C,3
tenidap,tenidap,2,Enrichr; clue.io,,0,43.447215004937185,5,-0.258895,-1.1445,3.1499,1,20,True,0.017346875275070398,Cyclooxygenase inhibitor,ALOX5|KCNJ4|PTGS1,6
gs39783,gs39783,2,Enrichr; clue.io,,0,29.640520020250488,1,-0.2587785714285714,-1.0424,1.647,1,14,True,0.08640125498943639,GABA receptor antagonist,GABBR1,2
flucytosine,flucytosine,2,Enrichr; clue.io,,0,19.434214050483938,6,-0.2562714285714286,-1.2438,15.6536,1,7,True,0.013868062011731314,Antifungal,DNMT1,7
st012030,st012030,2,Enrichr; clue.io,,0,33.29751719214051,3,-0.2546833333333333,-1.1725,15.3525,1,12,True,0.009892644421164507,,,4
gw 0742,gw0742,2,Enrichr; clue.io,,0,23.574610325457964,1,-0.25453846153846155,-1.1551,3.3117,1,13,True,0.10006232868333703,PPAR receptor agonist|Insulin sensitizer,PPARD|INS,2
niridazole,niridazole,2,Enrichr; clue.io,,0,20.045812085858483,2,-0.2544444444444445,-1.2526,15.6536,1,9,True,0.04305339391620027,Phosphofructokinase inhibitor,,3
betamethasone acetate,betamethasoneacetate,2,Enrichr; clue.io,,0,27.66958820495867,12,-0.2533,-1.2751,15.6536,1,12,True,0.029396376324384875,Glucocorticoid receptor agonist,NR3C1,13
modafinil,modafinil,2,Enrichr; clue.io,,0,18.693488294580938,2,-0.25309166666666666,-1.2141,15.6536,1,12,True,0.02456214065057596,Adrenergic receptor agonist,SLC6A3|CYP1A2|CYP2B6|CYP2C19|CYP3A4|CYP3A5|ADRA1B,3
deracoxib,deracoxib,2,Enrichr; clue.io,,0,48.94534554268627,4,-0.25080769230769234,-1.0434,2.7073,1,13,True,0.014971712638495024,Cyclooxygenase inhibitor,PTGS2,5
st4028268,st4028268,2,Enrichr; clue.io,,0,13.453344836349999,3,-0.24982500000000005,-1.2451,15.6536,1,12,True,0.06616006696451833,,,4
l2167,l2167,2,Enrichr; clue.io,,0,201.94551776695783,1,-0.2488692307692308,-1.304,15.6536,1,13,True,0.0024171012251306507,PPAR receptor agonist,PPARD,2
brinzolamide,brinzolamide,2,Enrichr; clue.io,,0,2.574984134771403,6,-0.24752307692307693,-1.3273,15.6536,1,13,True,0.2966157288191369,Carbonic anhydrase inhibitor,CA2|CA7|CA1|CYP2B6|CYP2C8|CA12|CA14|CA4|CA5A,7
l 670596,l670596,2,Enrichr; clue.io,,0,26.321879809212092,2,-0.24714285714285714,-1.1634,15.3525,1,7,True,0.09325734715871563,Prostanoid receptor antagonist,,3
motesanib,motesanib,2,Enrichr; clue.io,,0,107.26533088914363,8,-0.24663846153846156,-1.2122,15.6536,1,26,True,0.00010991328252561563,KIT inhibitor|PDGFR inhibitor|VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|RET,9
mitotane,mitotane,2,Enrichr; clue.io,,0,26.321879809212092,9,-0.24395000000000003,-1.1405,3.0897,1,12,True,0.03293541911680905,Carcinogen,CYP11B1|CYP11A1|CYP3A4|ESR1|FDX1,10
km 01366,km01366,2,Enrichr; clue.io,,0,67.5982324637005,1,-0.24357692307692308,-1.2017,15.6536,1,13,True,0.0028779786051375033,,,2
tibolone,tibolone,2,Enrichr; clue.io,,0,25.803822305610886,3,-0.23906666666666665,-1.2421,15.6536,1,21,True,0.008093130781064568,Estrogen receptor agonist|Androgen receptor agonist|Progesterone receptor agonist,ESR1|AR|PGR|STS,4
gr 159897,gr159897,2,Enrichr; clue.io,,0,6.339266086244256,6,-0.2379214285714286,-1.2341,15.6536,1,14,True,0.13620847631986266,Tachykinin antagonist,TACR2|TAC1,7
nicergoline,nicergoline,2,Enrichr; clue.io,,0,25.386364937864716,4,-0.2369125,-1.4003,15.6536,1,24,True,0.03293541911680905,Adrenergic receptor antagonist,ADRA1A,5
metolazone,metolazone,2,Enrichr; clue.io,,0,12.790435001206431,1,-0.2359809523809524,-1.3078,15.6536,1,21,True,0.14629754177092022,Carbonic anhydrase inhibitor,SLC12A3|CA2|CA7,2
hydroquinidine,hydroquinidine,2,Enrichr; clue.io,,0,38.81936703082998,3,-0.23188333333333333,-1.0868,3.1111,1,12,True,0.03454810301256986,Antiarrhythmic,,4
sulindac,sulindac,2,Enrichr; clue.io,,0,37.363522146789634,4,-0.22773846153846153,-1.2183,15.6536,1,13,True,0.008158618763806682,Cyclooxygenase inhibitor,PTGS1|PTGS2|AKR1B1|MAPK3|PPARD|PTGDR2,5
brefeldin a,brefeldina,2,Enrichr; clue.io,,0,95.39997592705079,53,-0.22370512820512822,-1.4895,15.6536,1,39,True,5.314640521362832e-06,Protein synthesis inhibitor|BIG1 inhibitor,ARFGEF1|ARFGEF2|GBF1|ARF1|CYTH2,54
