idx,topic,cite,authors,title,journal,year,doi,key
12,ATL_bone,"12. Izutsu, Koji, Makita, Shinichi, Nosaka, Kisato, Yoshimitsu, Makoto, Utsunomiya, Atae, Kusumoto, Shigeru, et al. An open-label, single-arm phase 2 trial of valemetostat for relapsed or refractory adult T-cell leukemia/lymphoma. Blood. 2023;141(1):1159-1168. doi: 10.1182/blood.2022016862","Izutsu, Koji, Makita, Shinichi, Nosaka, Kisato, Yoshimitsu, Makoto, Utsunomiya, Atae, Kusumoto, Shigeru, et al","An open-label, single-arm phase 2 trial of valemetostat for relapsed or refractory adult T-cell leukemia/lymphoma",Blood,2023,10.1182/blood.2022016862,NEAVTVVC
13,ATL_bone,"13. Goudarzi, S, Rassouli, FB, Kahrizi, D, Shirkhani, P, Mahdifar, M, Iranshahi, M, et al. Comparing toxicity of galbanic acid, auraptene and umbelliprenin on adult T-cell leukaemia-lymphoma in normoxia and hypoxia. CELLULAR AND MOLECULAR BIOLOGY. 2022;68(12):17-20. doi: 10.14715/cmb/2022.68.12.4","Goudarzi, S, Rassouli, FB, Kahrizi, D, Shirkhani, P, Mahdifar, M, Iranshahi, M, et al","Comparing toxicity of galbanic acid, auraptene and umbelliprenin on adult T-cell leukaemia-lymphoma in normoxia and hypoxia",CELLULAR AND MOLECULAR BIOLOGY,2022,10.14715/cmb/2022.68.12.4,MPFUKUSK
14,ATL_bone,"14. Su, XH, Ma, GX, Bai, XR, Zhang, J, Li, MY, Zhang, F, et al. The prognostic marker FLVCR2 associated with tumor progression and immune infiltration for acute myeloid leukemia. FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY. 2022;1:. doi: 10.3389/fcell.2022.978786","Su, XH, Ma, GX, Bai, XR, Zhang, J, Li, MY, Zhang, F, et al",The prognostic marker FLVCR2 associated with tumor progression and immune infiltration for acute myeloid leukemia,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,2022,10.3389/fcell.2022.978786,CHZGZ6SZ
15,ATL_bone,"15. Ito, Shigeki, Iwanaga, Masako, Nosaka, Kisato, Imaizumi, Yoshitaka, Ishitsuka, Kenji, Amano, Masahiro, et al. Epidemiology of adult T-cell leukemia-lymphoma in Japan: An updated analysis, 2012-2013. Cancer science. 2021;112(1):4346-4354. doi: 10.1111/cas.15097","Ito, Shigeki, Iwanaga, Masako, Nosaka, Kisato, Imaizumi, Yoshitaka, Ishitsuka, Kenji, Amano, Masahiro, et al","Epidemiology of adult T-cell leukemia-lymphoma in Japan: An updated analysis, 2012-2013",Cancer science,2021,10.1111/cas.15097,6ASALV9F
16,ATL_bone,"16. Nakano, Nobuaki, Utsunomiya, Atae, Matsuo, Keitaro, Yoshida, Noriaki, Seto, Masao, Ohshima, Kouichi, et al. Chromosomal defects and survival in patients with adult T-cell leukemia/lymphoma after allogeneic HSCT. Blood advances. 2021;5(2):475-486. doi: 10.1182/bloodadvances.2020003639","Nakano, Nobuaki, Utsunomiya, Atae, Matsuo, Keitaro, Yoshida, Noriaki, Seto, Masao, Ohshima, Kouichi, et al",Chromosomal defects and survival in patients with adult T-cell leukemia/lymphoma after allogeneic HSCT,Blood advances,2021,10.1182/bloodadvances.2020003639,MV746U8H
17,ATL_bone,"17. Lei, Matthew M., Tavares, Erica, Lou, Uvette, Buzgo, Evan, Raje, Noopur S., Yee, Andrew J.. Comparison of Denosumab Versus Intravenous (IV) Bisphosphonate Use for Hypercalcemia in Multiple Myeloma. BLOOD. 2020;136:. doi: 10.1182/blood-2020-140702","Lei, Matthew M., Tavares, Erica, Lou, Uvette, Buzgo, Evan, Raje, Noopur S., Yee, Andrew J.",Comparison of Denosumab Versus Intravenous (IV) Bisphosphonate Use for Hypercalcemia in Multiple Myeloma,BLOOD,2020,10.1182/blood-2020-140702,747EKRFY
18,ATL_bone,"18. Narita, Tomoko, Ishida, Takashi, Ito, Asahi, Masaki, Ayako, Kinoshita, Shiori, Suzuki, Susumu, et al. Cyclin-dependent kinase 9 is a novel specific molecular target in adult T-cell leukemia/lymphoma. Blood. 2017;13(9):1114-1124. doi: 10.1182/blood-2016-09-741983","Narita, Tomoko, Ishida, Takashi, Ito, Asahi, Masaki, Ayako, Kinoshita, Shiori, Suzuki, Susumu, et al",Cyclin-dependent kinase 9 is a novel specific molecular target in adult T-cell leukemia/lymphoma,Blood,2017,10.1182/blood-2016-09-741983,VRGGGPSN
19,ATL_bone,"19. Manoj, MG, Kotwal, J, Dutta, V. A Rare Case of Adult T Cell Leukemia/Lymphoma: Clinicopathological Correlation with Autopsy Confirmation. INDIAN JOURNAL OF HEMATOLOGY AND BLOOD TRANSFUSION. 2014;3(2):77-80. doi: 10.1007/s12288-012-0208-1","Manoj, MG, Kotwal, J, Dutta, V",A Rare Case of Adult T Cell Leukemia/Lymphoma: Clinicopathological Correlation with Autopsy Confirmation,INDIAN JOURNAL OF HEMATOLOGY AND BLOOD TRANSFUSION,2014,10.1007/s12288-012-0208-1,M4AYAMP6
20,ATL_bone,"20. Tezuka, Kenta, Xun, Runze, Tei, Mami, Ueno, Takaharu, Tanaka, Masakazu, Takenouchi, Norihiro, et al. An animal model of adult T-cell leukemia: humanized mice with HTLV-1-specific immunity. Blood. 2014;123(3):346-355. doi: 10.1182/blood-2013-06-508861","Tezuka, Kenta, Xun, Runze, Tei, Mami, Ueno, Takaharu, Tanaka, Masakazu, Takenouchi, Norihiro, et al",An animal model of adult T-cell leukemia: humanized mice with HTLV-1-specific immunity,Blood,2014,10.1182/blood-2013-06-508861,4RKUD6VD
21,ATL_bone,"21. Itonaga, Hidehiro, Taguchi, Jun, Fukushima, Takuya, Tsushima, Hideki, Sato, Shinya, Ando, Koji, et al. Distinct clinical features of infectious complications in adult T cell leukemia/lymphoma patients after allogeneic hematopoietic stem cell  transplantation: a retrospective analysis in the Nagasaki transplant group. Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation. 2013;19(4):607-615. doi: 10.1016/j.bbmt.2013.01.011","Itonaga, Hidehiro, Taguchi, Jun, Fukushima, Takuya, Tsushima, Hideki, Sato, Shinya, Ando, Koji, et al",Distinct clinical features of infectious complications in adult T cell leukemia/lymphoma patients after allogeneic hematopoietic stem cell  transplantation: a retrospective analysis in the Nagasaki transplant group,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,2013,10.1016/j.bbmt.2013.01.011,ZAFCA6W8
22,ATL_bone,"22. Yamasaki, Masao, Mine, Yoshihiro, Nishimura, Misato, Fujita, Satoshi, Sakakibara, Yoichi, Suiko, Masahito, et al. Genistein induces apoptotic cell death associated with inhibition of the NF-κB pathway in adult T-cell leukemia cells. Cell biology international. 2013;37(7):742-747. doi: 10.1002/cbin.10101","Yamasaki, Masao, Mine, Yoshihiro, Nishimura, Misato, Fujita, Satoshi, Sakakibara, Yoichi, Suiko, Masahito, et al",Genistein induces apoptotic cell death associated with inhibition of the NF-κB pathway in adult T-cell leukemia cells,Cell biology international,2013,10.1002/cbin.10101,YX2KKF3D
23,ATL_sc,"23. Shimizu, T, Shindo, T, Ogawa, H, Teranaka, K, Watanabe, A, Takaori-Kondo, A. Upregulation of YY1/EZH2 and MLH1 as Therapeutic Targets for Adult T-Cell Leukemia/Lymphoma. CANCER SCIENCE. 2025;116(8):2163-2175. doi: 10.1111/cas.70095","Shimizu, T, Shindo, T, Ogawa, H, Teranaka, K, Watanabe, A, Takaori-Kondo, A",Upregulation of YY1/EZH2 and MLH1 as Therapeutic Targets for Adult T-Cell Leukemia/Lymphoma,CANCER SCIENCE,2025,10.1111/cas.70095,293SIYCL
24,ATL_sc,"24. Karube, Kennosuke, Takatori, Mitsuyoshi, Sakihama, Shugo, Tsuruta, Yuma, Miyagi, Takashi, Morichika, Kazuho, et al. Clinicopathological features of adult T-cell leukemia/lymphoma with HTLV-1-infected Hodgkin and Reed-Sternberg-like cells. Blood advances. 2021;5(1):198-206. doi: 10.1182/bloodadvances.2020003201","Karube, Kennosuke, Takatori, Mitsuyoshi, Sakihama, Shugo, Tsuruta, Yuma, Miyagi, Takashi, Morichika, Kazuho, et al",Clinicopathological features of adult T-cell leukemia/lymphoma with HTLV-1-infected Hodgkin and Reed-Sternberg-like cells,Blood advances,2021,10.1182/bloodadvances.2020003201,Z42F5G3E
25,ATL_sc,"25. Fatfat, M, Fakhoury, I, Habli, Z, Mismar, R, Gali-Muhtasib, H. Thymoquinone enhances the anticancer activity of doxorubicin against adult T-cell leukemia in vitro and in vivo through ROS-dependent mechanisms. LIFE SCIENCES. 2019;232:. doi: 10.1016/j.lfs.2019.116628","Fatfat, M, Fakhoury, I, Habli, Z, Mismar, R, Gali-Muhtasib, H",Thymoquinone enhances the anticancer activity of doxorubicin against adult T-cell leukemia in vitro and in vivo through ROS-dependent mechanisms,LIFE SCIENCES,2019,10.1016/j.lfs.2019.116628,AH23RW83
26,ATL_sc,"26. Shah, Urvi A., Chung, Elaine Y., Giricz, Orsi, Pradhan, Kith, Kataoka, Keisuke, Gordon-Mitchell, Shanisha, et al. North American ATLL has a distinct mutational and transcriptional profile and responds to epigenetic therapies. Blood. 2018;132(14):1507-1518. doi: 10.1182/blood-2018-01-824607","Shah, Urvi A., Chung, Elaine Y., Giricz, Orsi, Pradhan, Kith, Kataoka, Keisuke, Gordon-Mitchell, Shanisha, et al",North American ATLL has a distinct mutational and transcriptional profile and responds to epigenetic therapies,Blood,2018,10.1182/blood-2018-01-824607,2A4JRCFS
27,ATL_sc,"27. Pancewicz, Joanna, Taylor, John M., Datta, Abhik, Baydoun, Hicham H., Waldmann, Thomas A., Hermine, Olivier, et al. Notch signaling contributes to proliferation and tumor formation of human T-cell leukemia virus type 1-associated adult T-cell leukemia. Proceedings of the National Academy of Sciences of the United States of America. 2010;107(38):16619-16624. doi: 10.1073/pnas.1010722107","Pancewicz, Joanna, Taylor, John M., Datta, Abhik, Baydoun, Hicham H., Waldmann, Thomas A., Hermine, Olivier, et al",Notch signaling contributes to proliferation and tumor formation of human T-cell leukemia virus type 1-associated adult T-cell leukemia,Proceedings of the National Academy of Sciences of the United States of America,2010,10.1073/pnas.1010722107,WK76IXVL
