idx,topic,cite,authors,title,journal,year,doi,key
38,CMap,"38. Wu, XM, Lin, CX, Wang, H, Gao, JJ, Chen, SC, Zhou, ZT, et al. Connectivity-map unveils Gemcitabine's efficacy in overcoming nelarabine resistance in T-cell acute lymphoblastic leukemia. BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS. 2025;769:. doi: 10.1016/j.bbrc.2025.151971","Wu, XM, Lin, CX, Wang, H, Gao, JJ, Chen, SC, Zhou, ZT, et al",Connectivity-map unveils Gemcitabine's efficacy in overcoming nelarabine resistance in T-cell acute lymphoblastic leukemia,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,2025,10.1016/j.bbrc.2025.151971,7UDHF73Q
39,CMap,"39. Xu, Q, Cao, DD, Fang, B, Yan, SQ, Hu, Y, Guo, T. Immune-related gene signature predicts clinical outcomes and immunotherapy response in acute myeloid leukemia. CANCER MEDICINE. 2022;11(17):3364-3380. doi: 10.1002/cam4.4687","Xu, Q, Cao, DD, Fang, B, Yan, SQ, Hu, Y, Guo, T",Immune-related gene signature predicts clinical outcomes and immunotherapy response in acute myeloid leukemia,CANCER MEDICINE,2022,10.1002/cam4.4687,5HCWZIVH
40,Bone_markers,"40. Shimonodan, Hidemi, Nagayama, Jun, Nagatoshi, Yoshihisa, Hatanaka, Michiki, Takada, Akiko, Iguchi, Haruo, et al. Acute lymphocytic leukemia in adolescence with multiple osteolytic lesions and hypercalcemia mediated by lymphoblast-producing parathyroid hormone-related  peptide: a case report and review of the literature. Pediatric blood & cancer. 2005;45(3):333-339. doi: 10.1002/pbc.20357","Shimonodan, Hidemi, Nagayama, Jun, Nagatoshi, Yoshihisa, Hatanaka, Michiki, Takada, Akiko, Iguchi, Haruo, et al",Acute lymphocytic leukemia in adolescence with multiple osteolytic lesions and hypercalcemia mediated by lymphoblast-producing parathyroid hormone-related  peptide: a case report and review of the literature,Pediatric blood & cancer,2005,10.1002/pbc.20357,XKXZLRW5
41,Bone_markers,"41. H, Shimonodan. Acute lymphocytic leukemia in adolescence with multiple osteolytic lesions and hypercalcemia mediated by lymphoblast-producing parathyroid hormone-related peptide: a case report and review of the literature. Pediatric blood & cancer. 2005;45(3):333-339.","H, Shimonodan",Acute lymphocytic leukemia in adolescence with multiple osteolytic lesions and hypercalcemia mediated by lymphoblast-producing parathyroid hormone-related peptide: a case report and review of the literature,Pediatric blood & cancer,2005,,K4MXME9G
42,Bone_markers,"42. Hidemi, Shimonodan. Acute lymphocytic leukemia in adolescence with multiple osteolytic lesions and hypercalcemia mediated by lymphoblast-producing parathyroid hormone-related peptide: a case report and review of the literature. Pediatric blood & cancer. 2005;45(3):333-9.","Hidemi, Shimonodan",Acute lymphocytic leukemia in adolescence with multiple osteolytic lesions and hypercalcemia mediated by lymphoblast-producing parathyroid hormone-related peptide: a case report and review of the literature,Pediatric blood & cancer,2005,,MTU925AR
43,Bone_markers,"43. Richard, V., Nadella, M. V. P., Green, P. L., Lairmore, M. D., Feuer, G., Foley, J. G., et al. Transcriptional regulation of parathyroid hormone-related protein promoter P3 by ETS-1 in adult T-cell leukemia/lymphoma. Leukemia. 2005;19(7):1175-1183. doi: 10.1038/sj.leu.2403787","Richard, V., Nadella, M. V. P., Green, P. L., Lairmore, M. D., Feuer, G., Foley, J. G., et al",Transcriptional regulation of parathyroid hormone-related protein promoter P3 by ETS-1 in adult T-cell leukemia/lymphoma,Leukemia,2005,10.1038/sj.leu.2403787,YFK5ETVH
44,Bone_markers,"44. Nadella, M. V. P., Dirksen, W. P., Nadella, K. S., Shu, S., Cheng, A. S., Morgenstern, J. A., et al. Transcriptional regulation of parathyroid hormone-related protein promoter P2 by NF-kappaB in adult T-cell leukemia/lymphoma. Leukemia. 2007;21(8):1752-1762. doi: 10.1038/sj.leu.2404798","Nadella, M. V. P., Dirksen, W. P., Nadella, K. S., Shu, S., Cheng, A. S., Morgenstern, J. A., et al",Transcriptional regulation of parathyroid hormone-related protein promoter P2 by NF-kappaB in adult T-cell leukemia/lymphoma,Leukemia,2007,10.1038/sj.leu.2404798,F5EN9N8I
45,sc_methods,"45. Gao, J, Yan, XQ, Fan, D, Li, YC. Single-cell data revealed the function of natural killer cells and macrophage cells in chemotherapy tolerance in acute myeloid leukemia. PEERJ. 2024;12:. doi: 10.7717/peerj.18521","Gao, J, Yan, XQ, Fan, D, Li, YC",Single-cell data revealed the function of natural killer cells and macrophage cells in chemotherapy tolerance in acute myeloid leukemia,PEERJ,2024,10.7717/peerj.18521,HYX3KISL
46,EZH_recent,"46. Yamagishi, M, Kuze, Y, Kobayashi, S, Nakashima, M, Morishima, S, Kawamata, T, et al. Mechanisms of action and resistance in histone methylation-targeted therapy. NATURE. 2024;627(8002):221-+. doi: 10.1038/s41586-024-07103-x","Yamagishi, M, Kuze, Y, Kobayashi, S, Nakashima, M, Morishima, S, Kawamata, T, et al",Mechanisms of action and resistance in histone methylation-targeted therapy,NATURE,2024,10.1038/s41586-024-07103-x,GVRLMGG9
47,ATL_bone,"Choi YL, Tsukasaki K, O'Neill MC, et al. A genomic analysis of adult T-cell leukemia. Oncogene. 2007;26(8):1245-55. doi: 10.1038/sj.onc.1209898","Choi YL, Tsukasaki K, O'Neill MC, et al",A genomic analysis of adult T-cell leukemia,Oncogene,2007,10.1038/sj.onc.1209898,CHOI2007
48,ATL_bone,"Xia W, Brown TJ, Babey ME, et al. Co-expression of WNT5A, RANKL, and PTHrP in adult T-cell leukemia. Blood. 2013;121(11):2009-19. doi: 10.1182/blood-2012-09-457425","Xia W, Brown TJ, Babey ME, et al","Co-expression of WNT5A, RANKL, and PTHrP in adult T-cell leukemia",Blood,2013,10.1182/blood-2012-09-457425,XIA2013
49,ATL_bone,"Xiang J, Rauch DA, Huey DD, et al. HTLV-1 HBZ promotes RANKL-mediated osteolytic disease. JCI Insight. 2019;4(20):e126544. doi: 10.1172/jci.insight.126544","Xiang J, Rauch DA, Huey DD, et al",HTLV-1 HBZ promotes RANKL-mediated osteolytic disease and denosumab attenuates bone destruction,JCI Insight,2019,10.1172/jci.insight.126544,XIANG2019
50,ATL_clinical,"Tsukasaki K, Hermine O, Bazarbachi A, et al. Definition, prognostic factors, treatment, and response criteria of adult T-cell leukemia-lymphoma: a proposal from an international consensus meeting. J Clin Oncol. 2009;27(3):453-9. doi: 10.1200/JCO.2008.18.2428","Tsukasaki K, Hermine O, Bazarbachi A, et al","Definition, prognostic factors, treatment, and response criteria of adult T-cell leukemia-lymphoma: a proposal from an international consensus meeting",J Clin Oncol,2009,10.1200/JCO.2008.18.2428,TSUKASAKI2009
51,ATL_clinical,"Cook LB, Phillips AA. Adult T-cell leukemia/lymphoma. Hematol Oncol Clin North Am. 2019;33(4):649-65. doi: 10.1016/j.hoc.2019.04.002","Cook LB, Phillips AA",Adult T-cell leukemia/lymphoma,Hematol Oncol Clin North Am,2019,10.1016/j.hoc.2019.04.002,COOK2019
52,ATL_sc,"Joo HK, et al. Single-cell RNA sequencing of cutaneous adult T-cell leukemia. Front Immunol. 2022 (GSE195674). doi: 10.3389/fimmu.2022.918654","Joo HK, Ronnett GV, Yi G, et al",Single-cell RNA sequencing of cutaneous adult T-cell leukemia,Front Immunol,2022,10.3389/fimmu.2022.918654,JOO2022
53,Deconvolution,"Chu T, Wang Z, Pe'er D, et al. Cell type and gene expression deconvolution with BayesPrism. Nat Cancer. 2022;3(4):505-17. doi: 10.1038/s43018-022-00356-3","Chu T, Wang Z, Pe'er D, et al",Cell type and gene expression deconvolution with BayesPrism,Nat Cancer,2022,10.1038/s43018-022-00356-3,CHU2022
54,Deconvolution,"Wang X, Park J, Susztak K, et al. Bulk tissue cell type deconvolution with multi-subject single-cell expression reference (MuSiC). Nat Commun. 2019;10:380. doi: 10.1038/s41467-018-08023-x","Wang X, Park J, Susztak K, et al",Bulk tissue cell type deconvolution with multi-subject single-cell expression reference (MuSiC),Nat Commun,2019,10.1038/s41467-018-08023-x,WANG2019
55,Deconvolution,"Newman AM, et al. Determining cell type abundance and expression from bulk tissues with digital cytometry. Nat Biotechnol. 2019;37(7):773-82. doi: 10.1038/s41587-019-0114-2","Newman AM, Steen CB, Liu CL, et al",Determining cell type abundance and expression from bulk tissues with digital cytometry,Nat Biotechnol,2019,10.1038/s41587-019-0114-2,NEWMAN2019
56,CMap,"Subramanian A, Narayan R, Corsello SM, et al. A next generation Connectivity Map: L1000 platform and the first 1,000,000 profiles. Cell. 2017;171(6):1437-1452. doi: 10.1016/j.cell.2017.10.049","Subramanian A, Narayan R, Corsello SM, et al","A next generation Connectivity Map: L1000 platform and the first 1,000,000 profiles",Cell,2017,10.1016/j.cell.2017.10.049,SUBRAMANIAN2017
57,CMap,"Evangelista JE, et al. SigCom LINCS: data and metadata search engine for the LINCS Project. Nucleic Acids Res. 2022;50(W1):W697-709. doi: 10.1093/nar/gkac328","Evangelista JE, Clarke DJB, Xie Z, et al",SigCom LINCS: data and metadata search engine for the LINCS Project,Nucleic Acids Res,2022,10.1093/nar/gkac328,EVANGELISTA2022
58,sc_methods,"Hao Y, Stuart T, Kowalski MH, et al. Dictionary learning for integrative, multimodal and scalable single-cell analysis. Nat Biotechnol. 2024;42(2):293-304. doi: 10.1038/s41587-023-01767-y","Hao Y, Stuart T, Kowalski MH, et al","Dictionary learning for integrative, multimodal and scalable single-cell analysis",Nat Biotechnol,2024,10.1038/s41587-023-01767-y,HAO2024
59,DE_methods,"Love MI, Huber W, Anders S. Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2. Genome Biol. 2014;15(12):550. doi: 10.1186/s13059-014-0550-8","Love MI, Huber W, Anders S",Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,Genome Biol,2014,10.1186/s13059-014-0550-8,LOVE2014
60,Bone_markers,"Vasikaran S, Eastell R, Bruyère O, et al. Markers of bone turnover for the prediction of fracture risk and monitoring of osteoporosis treatment. Osteoporos Int. 2011;22(2):391-420. doi: 10.1007/s00198-010-1501-1","Vasikaran S, Eastell R, Bruyère O, et al",Markers of bone turnover for the prediction of fracture risk and monitoring of osteoporosis treatment,Osteoporos Int,2011,10.1007/s00198-010-1501-1,VASIKARAN2011
61,Bone_markers,Stewart AF. Hypercalcemia associated with cancer. N Engl J Med. 2005;352(4):373-9. doi: 10.1056/NEJMcp042806,Stewart AF,Hypercalcemia associated with cancer,N Engl J Med,2005,10.1056/NEJMcp042806,STEWART2005
62,Bone_markers,"Payne RB, Little AJ, Williams RB, Milner JR. Interpretation of serum calcium in patients with abnormal serum proteins. Br Med J. 1973;4(5893):643-6. doi: 10.1136/bmj.4.5893.643","Payne RB, Little AJ, Williams RB, Milner JR",Interpretation of serum calcium in patients with abnormal serum proteins,Br Med J,1973,10.1136/bmj.4.5893.643,PAYNE1973
63,HTLV_mech,"Sun SC, Yamaoka S. Activation of NF-κB by HTLV-I and implications for cell transformation. Oncogene. 2005;24(39):5952-64. doi: 10.1038/sj.onc.1208969","Sun SC, Yamaoka S",Activation of NF-κB by HTLV-I and implications for cell transformation,Oncogene,2005,10.1038/sj.onc.1208969,SUN2005
64,ATL_clinical,"Kataoka K, Nagata Y, Kitanaka A, et al. Integrated molecular analysis of adult T cell leukemia/lymphoma. Nat Genet. 2015;47(11):1304-15. doi: 10.1038/ng.3415","Kataoka K, Nagata Y, Kitanaka A, et al",Integrated molecular analysis of adult T cell leukemia/lymphoma,Nat Genet,2015,10.1038/ng.3415,KATAOKA2015
65,ATL_sc,"Yamagishi M, Kubokawa M, Kuze Y, et al. Chronological genome and single-cell transcriptome integration in HTLV-1-mediated leukemia development. Nat Commun. 2021;12:6739. doi: 10.1038/s41467-021-26760-4","Yamagishi M, Kubokawa M, Kuze Y, et al",Chronological genome and single-cell transcriptome integration in HTLV-1-mediated leukemia development,Nat Commun,2021,10.1038/s41467-021-26760-4,YAMAGISHI2021
66,ATL_clinical,"Kogure Y, Kameda T, Koya J, et al. Whole-genome landscape of adult T-cell leukemia/lymphoma. Blood. 2022;139(7):967-82. doi: 10.1182/blood.2021013568","Kogure Y, Kameda T, Koya J, et al",Whole-genome landscape of adult T-cell leukemia/lymphoma,Blood,2022,10.1182/blood.2021013568,KOGURE2022
